Chinese_name,English_name,Initial,surface_to_lobby,lobby_to_platform
紅磡,Hung Hom,HUH,同一層,客用升降機
旺角東,Mong Kok East,MKK,同一層,客用升降機
九龍塘,Kowloon Tong,KOT,同一層／客用升降機,客用升降機
大圍,Tai Wai,TAW,同一層,客用升降機
沙田,Sha Tin,SHT,同一層／斜道,客用升降機
火炭,Fo Tan,FOT,同一層／客用升降機,客用升降機
馬場,Racecourse,RAC,,
大學,University,UNI,同一層／客用升降機,客用升降機／斜道
大埔墟,Tai Po Market,TAP,同一層,客用升降機
太和,Tai Wo,TWO,經太和商場乘搭站外升降機,同一層／客用升降機
粉嶺,Fanling,FAN,同一層,客用升降機
上水,Sheung Shui,SHS,同一層,客用升降機
羅湖,Lo Wu,LOW,同一層／由車站職員協助使用升降機,客用升降機
落馬洲,Lok Ma Chau,LMC,同一層／由車站職員協助使用升降機,客用升降機
尖東,East Tsim Sha Tsui,ETS,客用升降機,客用升降機
車公廟,Che Kung Temple,CKT,斜道,客用升降機
沙田圍,Sha Tin Wai,STW,斜道,客用升降機
第一城,City One,CIO,斜道,客用升降機
石門,Shek Mun,SHM,斜道,客用升降機
大水坑,Tai Shui Hang,TSH,客用升降機,客用升降機
恆安,Heng On,HEO,斜道／客用升降機,客用升降機
馬鞍山,Ma On Shan,MOS,同一層,客用升降機
烏溪沙,Wu Kai Sha,WKS,同一層,客用升降機
柯士甸,Austin,AUS,客用升降機,客用升降機
南昌,Nam Cheong,NAC,客用升降機,客用升降機
美孚,Mei Foo,MEF,客用升降機,客用升降機
荃灣西,Tsuen Wan West,TWW,客用升降機,客用升降機
錦上路,Kam Sheung Road,KSR,斜道,客用升降機
元朗,Yuen Long,YUL,客用升降機／斜道／輪椅升降台設於F入口,客用升降機
朗屏,Long Ping,LOP,客用升降機／斜道,客用升降機
天水圍,Tin Shui Wai,TIS,客用升降機／斜道,客用升降機
兆康,Siu Hong,SIH,客用升降機／斜道,客用升降機
屯門,Tuen Mun,TUM,客用升降機／斜道,客用升降機
中環,Central,CEN,客用升降機,客用升降機
金鐘,Admiralty,ADM,輪椅升降台設於D入口,客用升降機
尖沙咀,Tsim Sha Tsui,TST,輪椅升降台設於A1入口,客用升降機
佐敦,Jordan,JOR,輪椅輔助車(最高負重200千克)設於B2入口，車站職員會提供協助,客用升降機
油麻地,Yau Ma Tei,YMT,輪椅升降台設於A1入口,客用升降機
旺角,Mong Kok,MOK,客用升降機,客用升降機
石硤尾,Shek Kip Mei,SKM,輪椅升降台設於C入口，車站職員會提供協助,客用升降機
樂富,Lok Fu,LOF,斜道設於A入口,客用升降機
黃大仙,Wong Tai Sin,WTS,輪椅升降台設於C1入口,客用升降機
鑽石山,Diamond Hill,DIH,輪椅升降台設於A1入口,客用升降機
彩虹,Choi Hung,CHH,斜道設於C2及C4入口,客用升降機
九龍灣,Kowloon Bay,KOB,經德福廣場客用升降機及斜道進出,客用升降機
牛頭角,Ngau Tau Kok,NTK,斜道設於B入口,客用升降機
觀塘,Kwun Tong,KWT,客用升降機,客用升降機
太子,Prince Edward,PRE,輪椅升降台設於B1入口,客用升降機
深水埗,Sham Shui Po,SSP,輪椅升降台設於A1入口,客用升降機
長沙灣,Cheung Sha Wan,CSW,輪椅輔助車(最高負重200千克)設於A2入口，車站職員會提供協助,客用升降機
荔枝角,Lai Chi Kok,LCK,輪椅輔助車(最高負重200千克)設於C入口，車站職員會提供協助,客用升降機
荔景,Lai King,LAK,客用升降機,客用升降機
葵芳,Kwai Fong,KWF,斜道設於D入口,客用升降機
葵興,Kwai Hing,KWH,斜道設於B及C入口,客用升降機
大窩口,Tai Wo Hau,TWH,客用升降機,客用升降機
荃灣,Tsuen Wan,TSW,斜道設於A1及C入口,客用升降機
上環,Sheung Wan,SHW,離開及進入車站用的輪椅輔助車(最高負重200千克)分別設於A1出口及E4入口，車站職員會提供協助,客用升降機
灣仔,Wan Chai,WAC,客用升降機,客用升降機
銅鑼灣,Causeway Bay,CAB,客用升降機,客用升降機
天后,Tin Hau,TIH,輪椅升降台設於A1入口,客用升降機
炮台山,Fortress Hill,FOH,輪椅輔助車(最高負重200千克)設於B入口，車站職員會提供協助,客用升降機
北角,North Point,NOP,客用升降機,客用升降機
鰂魚涌,Quarry Bay,QUB,斜道設於A入口,客用升降機
太古,Tai Koo,TAK,客用升降機及斜道,客用升降機
西灣河,Sai Wan Ho,SWH,輪椅輔助車(最高負重200千克)設於A入口，車站職員會提供協助,客用升降機
筲箕灣,Shau Kei Wan,SKW,輪椅輔助車(最高負重200千克)設於A3入口，車站職員會提供協助,客用升降機
杏花邨,Heng Fa Chuen,HFC,經杏花新城商場乘搭站外升降機,客用升降機
柴灣,Chai Wan,CHW,經新翠商場乘搭站外升降機,客用升降機
藍田,Lam Tin,LAT,斜道設於C入口,客用升降機
香港,Hong Kong,HOK,客用升降機,客用升降機
九龍,Kowloon,KOW,客用升降機,客用升降機
奧運,Olympic,OLY,客用升降機,客用升降機
青衣,Tsing Yi,TSY,客用升降機,客用升降機
東涌,Tung Chung,TUC,斜道設於A入口,客用升降機
油塘,Yau Tong,YAT,客用升降機,客用升降機
調景嶺,Tiu Keng Leng,TIK,經路面落客區進出,客用升降機
將軍澳,Tseung Kwan O,TKO,經路面落客區進出,客用升降機
坑口,Hang Hau,HAH,經路面落客區進出,客用升降機
寶琳,Po Lam,POA,斜道設於C入口,(在同一層)
欣澳,Sunny Bay,SUN,斜道設於A入口,客用升降機
迪士尼,Disneyland Resort,DIS,同一層,客用升降機
康城,LOHAS Park,LHP,客用升降機,客用升降機
